sensor_id,sensor_type,room,location,unit,token
bathroom_motion_01,PIR_motion,bathroom,bathroom_entrance,boolean,77auBMTJ9jlCpnQbSplG
toilet_pressure_01,toilet_seat_pressure,bathroom,toilet_seat,boolean,sw4pXEfYRZTyI7o5VxkM
bathroom_water_flow_01,water_flow,bathroom,sink_shower_pipe,boolean,3cOdFbhPdGELJtN2cgBr
bathroom_shower_water_temp_01,temp_sensor,bathroom,in_showerhead,celsius,X7WKfFms6DkqiYNbQlyF
bathroom_temperature_01,temperature_sensor,bathroom,bathroom_wall_near_shower,celsius,V0uk5hPzO0KydG1Nw1FL
bed_pressure_01,bed_pressure_mat,bedroom,under_mattress,boolean,ktbNMArk2khVr3s9G3cc
bedroom_motion_01,PIR_motion,bedroom,upper_right_corner,boolean,OHJsjQuK9V6tSqpvvoxA
bedroom_lamp_plug_01,smart_plug_power_monitor,bedroom,bedside_lamp,boolean,NNn5GEPFD410lUk7zGAg
bedroom_temperature_01,temperature_sensor,bedroom,bedroom_wall,celsius,zvucMRNH0kHMcoDwe41v
living_motion_01,PIR_motion,living_room,living_room_corner,boolean,juXZczJ7wmyN51JkBJaC
sofa_pressure_01,sofa_pressure,living_room,sofa,boolean,9LzjUp71E80WduMWNp04
sofa_pressure_02,sofa_pressure,living_room,sofa,boolean,VBZLldpzkDnDFErtKNrr
tv_plug_01,smart_plug_power_monitor,living_room,tv,boolean,7ymcRo9evgDxW05BK4u8
entrance_motion_01,PIR_motion,entrance,entrance_door_area,boolean,EpPaYG598YvogLxE2JKH
entrance_door_01,door_contact,entrance,main_entrance_door,boolean,V20mUMlilvk9Nandktk0
kitchen_motion_01,PIR_motion,kitchen,opposite_fridge_facing_kitchen,boolean,Tvxj90MLgoSEKlpFM5Kv
kitchen_temperature_01,temperature_sensor,kitchen,kitchen_wall,celsius,hcnBWfY4XoJCxwSDftjK
stove_power_01,stove_power_or_gas_flow,kitchen,stove_hotplate_or_burner,boolean,hfJumbRnQA1gmylWcVYZ
smoke_detector_01,smoke_detector,kitchen,kitchen_ceiling,boolean,4LPcARanpef2e232vEoO
fridge_door_01,magnetic_contact,kitchen,fridge_door,boolean,hTSOOooUfL7KMi57F8lU
kitchen_faucet_01,magnetic_contact,kitchen,kitchen_faucet,boolean,K4ezjfnoFJYDDadPL7Sq
kitchen_medication_cabinet_01, magnetic_contact,kitchen,kitchen_cabinet,boolean,Vp14IN20H3ajaHWky7RB
