sensor_id,token
bathroom_motion,R4LeOqeZvNnWP5C6qxHL
toilet_pressure,xpkSgIflIstU8uzGv0qM
bathroom_water_flow,FcOBuvSJZwijQeag788V
bathroom_shower_water_temp,fz3nCZBRcqD1LfdjxmFd
bathroom_temperature,goT7bdRw0mIj5oHpGgRE
bed_pressure,fb0INGviqIrq2qqr91RT
bedroom_motion,ih2ET2l5prccSMzV11Fq
bedroom_lamp_plug,bYwTt9fId0yi6LEcsVeZ
bedroom_temperature,W0x0U7qOIXMQFCKNXLDE
living_motion,PwQAo0uepjHp0nsSrFV6
sofa_pressure,yLtvj7eLbYt4GLaTELr1
sofa_pressure_2,fnG4kgPVC5xqh2UErTrE
tv_plug,maWH1L8AdMnP5BMNImec
entrance_motion,uCXcuRKo4o4rCpEOjFt0
entrance_door,aTRyWP4wj0XRF1ubYguw
kitchen_motion,gvmFYrqcLwGmSb6c1Yne
kitchen_temperature,sK2eMW4OJ6SPzsZCqio6
stove_power,jYEVauiTswNtk3veLomK
smoke_detector,mPR7jn53YGZju1xWAwTD
fridge_door,BO8mmPYi6nmZguxexj5u
kitchen_faucet,qgdn29mzG8WVDLXYlcfG
kitchen_medication_cabinet,wbVFNOaWA4bMxNqXGVVW
